12 25
4	27	27	27	31	27	27	27	31	27	27	27	31	27	27	27	31	27	27	27	31	27	27	27	5
15	92	92	92	55	92	92	H	69	92	92	92	55	92	92	92	69	H	92	92	55	92	D	E	13
15	92	92	X	W	C	92	92	92	92	92	X	W	C	D	92	92	92	92	X	W	C	92	92	13
15	92	92	92	55	92	92	92	3	92	D	92	55	92	92	92	3	92	92	92	55	92	B	92	13
15	92	92	92	55	92	G	92	55	92	92	92	55	92	92	92	55	92	B	92	55	92	92	92	13
15	92	92	92	55	92	92	92	55	92	92	H	55	92	G	92	55	92	92	92	55	92	92	92	13
15	92	92	92	55	92	G	92	55	T	92	92	55	92	92	92	55	92	92	92	55	92	B	92	13
15	92	G	92	55	92	92	92	55	92	92	92	55	92	G	92	55	92	T	92	55	92	92	92	13
15	92	92	H	69	92	92	92	55	92	92	D	69	92	92	92	55	92	92	92	69	92	92	92	13
15	92	92	92	92	92	H	X	W	C	92	92	92	92	92	X	W	C	D	92	92	92	92	92	13
15	92	92	92	3	92	92	92	55	92	92	D	3	H	92	92	55	92	92	92	3	H	H	K	13
17	1	1	1	44	1	1	1	44	1	1	1	44	1	1	1	44	1	1	1	44	1	1	1	18
